mon,pronunciation,pos,th
အ,อะ,น.,สระตัวที่1ของมอญ
အ,อะ,ว.,ติดอ่าง
အက္ညဝ်,อะกญอ,น.,อาการอักเสบ
အကတည္ညူ,อะกะตอนญู,น.,อกตัญญู
အကတည္ညူ,อะกะตอนญู,น.,ไม่รู้บุญคุณ
အကနိတ္ထ,อะกะนิฺดทะ,น.,อกนิษฐ์
အကနိတ္ထ,อะกะนิฺดทะ,น.,รูปพรหมชั้นสูงสุด
အကြာ,อะกฺรา,บุพ.,ระหว่าง
အကြာ,อะกฺรา,บุพ.,ท่ามกลาง
အကြိုက်,อะกฺริาก,น.,ความเหมาะสม
အကြီု,อะกฺราม,น.,การยกย่อง
အကြီု,อะกฺราม,น.,การสรรเสริญ
အကြီု,อะกฺราม,น.,บทนำ
အကြီု,อะกฺราม,น.,อารัมภบท
အကွက်,อะกฺวัก,สัน.,สำหรับ
အကွက်,อะกฺวัก,สัน.,เผื่อ
အကၚ်,อะกัง,น.,ผื่นคัน
အကၚ်,อะกัง,น.,อาการกำเริบที่เกิดจากพิษต่าง ๆ
အကၚ်ဂျိ,อะกังกฺฺยิ,น.,พิษคัน
အကၚ်ဇြုံဇါတ်,อะกังซฺุมจฺาด,น.,พิษงูเห่า
အကၚ်မြန်,อะกังแมฺ.รฺอน,น.,พิษฝีดาด
အကပ်,อะกอบ,น.,กรอบ
အကပ်,อะกอบ,น.,ขอบ
အကာပ်,อะกาบ,น.,นกตะขาบ
အကာပ်,อะกาบ,น.,นกกระเต็น
အကာရ,อะการะ,น.,ท่าทาง
အကာရ,อะการะ,น.,อาการ
အကာသ,อะกาซะ,น.,อากาศ
အကာသ,อะกาซะ,น.,ท้องฟ้า
အကာသ်,อะกาด,น.,อากาศ
အကာသ်,อะกาด,น.,ท้องฟ้า
အကာသဇဵု,อะกาซะเจฺอ,น.,อากาศเทวดา
အကေၚ်,อะเกียง,น.,ความเคยชิน
အကေၚ်,อะเกียง,น.,ประเพณี
အကေၚ်,อะเกียง,น.,ความสืบเนื่อง
အကေၚ်အကေၚ်,อะเกียงอะเกียง,ว.,ตามเคย
အကေၚ်အကေၚ်,อะเกียงอะเกียง,ว.,เคยตัว
အကေၚ်အကေၚ်,อะเกียงอะเกียง,ว.,เคยชิน
အကောပ်,อะโกบ,น.,กรอบ
အကောပ်,อะโกบ,น.,ขอบ.เช่น အကောပ်ကွဳ ขอบล้อเกวียน
အကောပ်အဝဲ,อะโกบอะวัฺว,น.,วัฏสงสาร
အကောပ်အဝဲ,อะโกบอะวัฺว,น.,วัฏจักร
အကံက်,อะกอก,น.,ภาษี
အကံက်,อะกอก,น.,ส่วย
အကး,อะกะฮ,น.,ท้องฟ้า
အကြီုနဳဒါန်,อะกฺรามนีฺตฺาน,น.,บทคัดย่อ
အကြီုနဳဒါန်,อะกฺรามนีฺตฺาน,น.,เรื่องย่อ
အကြီုနဳဒါန်,อะกฺรามนีฺตฺาน,น.,บทนำ
အခြၚ်,อะคฺรัง,ว.,ทั้ง ๆ ที่
အခြၚ်,อะคฺรัง,ว.,มาตรว่า
အခြၚ်,อะคฺรัง,ว.,แม้ว่า
အခန်,อะคอน,น.,กัณฑ์  ตอน
အခန်,อะคอน,น.,ภาค
အခန်ဇၞော်,อะคอนแจฺ.โนฺก,น.,บรรพ์
အခန်ဇၞော်,อะคอนแจฺ.โนฺก,น.,ตอนใหญ่
အခန်ဇၞော်,อะคอนแจฺ.โนฺก,น.,เรื่องยาว
အခန်ဍောတ်,อะคอนโดด,น.,บทกลอน
အခန်ဍောတ်,อะคอนโดด,น.,โคลง
အခဝ်,อะคอ,น.,อักขระ
အခဝ်,อะคอ,น.,อักษร
အခါ,อะคา,น.,ขวบ
အခါ,อะคา,น.,ปี
အခါန်,อะคาน,น.,อาคาร
အခိၚ်,อะเคิญ,น.,เวลา
အခိၚ်တ္ၚဲ,อะเคิญตะงัว,น.,เวลากลางวัน
အခိၚ်ဗ္တမ်,อะเคิญแปฺ.ตอม,น.,เวลากลางคืน
အခေၚ်ပၞာန်,อะเคียงปะนาน,น.,จตุรงคเสนา
အခေၚ်ပၞာန်,อะเคียงปะนาน,น.,กระบวนทัพ
အခေါဗနဳ,อะเคาแปฺ.นีฺ,ว.,มากจนนับไม่ถ้วน
