အ,[อะ] 1.น.สระตัวที่1ของมอญ.  2.ว.ติดอ่าง.,
အက္ညဝ်,[อะกญอ]น.อาการอักเสบ.,
အကတည္ညူ,"[อะกะตอนญู]น.อกตัญญู,ไม่รู้บุญคุณ.",
အကနိတ္ထ,"[อะกะนิฺดทะ]น.อกนิษฐ์,รูปพรหมชั้นสูงสุด.",
အကြာ,"[อะกฺรา]บุพ.ระหว่าง,ท่ามกลาง.",
အကြိုက်,[อะกฺริาก]น.ความเหมาะสม.,
အကြီု,"[อะกฺราม]น.การยกย่อง,การสรรเสริญ,บทนำ,อารัมภบท.",
အကွက်,"[อะกฺวัก]สัน.สำหรับ,เผื่อ.",
အကၚ်,"[อะกัง]น.น.ผื่นคัน,อาการกำเริบที่เกิดจากพิษต่าง ๆ.",
အကၚ်ဂျိ,[อะกังกฺฺยิ]น.พิษคัน.,
အကၚ်ဇြုံဇါတ်,[อะกังซฺุมจฺาด]น.พิษงูเห่า.,
အကၚ်မြန်,[อะกังแมฺ.รฺอน]น.พิษฝีดาด.,
အကပ်,"[อะกอบ]น.กรอบ,ขอบ.",
အကာပ်,"[อะกาบ]น.นกตะขาบ,นกกระเต็น.",
အကာရ,"[อะการะ]น.ท่าทาง,อาการ.",
အကာသ,"[อะกาซะ]น.อากาศ,ท้องฟ้า.",
အကာသ်,"[อะกาด]น.อากาศ,ท้องฟ้า.",
အကာသဇဵု,[อะกาซะเจฺอ]น.อากาศเทวดา.,
အကေၚ်,"[อะเกียง]น.ความเคยชิน,ประเพณี,ความสืบเนื่อง.",
အကေၚ်အကေၚ်,"[อะเกียงอะเกียง]ว.ตามเคย,เคยตัว,เคยชิน.",
အကောပ်,"[อะโกบ]น.กรอบ,ขอบ.เช่น အကောပ်ကွဳ ขอบล้อเกวียน.",
အကောပ်အဝဲ,"[อะโกบอะวัฺว]น.วัฏสงสาร,วัฏจักร.",
အကံက်,"[อะกอก]น.ภาษี,ส่วย.",
အကး,[อะกะฮ]น.ท้องฟ้า.,
အကြီုနဳဒါန်,"[อะกฺรามนีฺตฺาน]น.บทคัดย่อ,เรื่องย่อ,บทนำ.",
အခြၚ်,"[อะคฺรัง]ว.ทั้ง ๆ ที่,มาตรว่า,แม้ว่า.",
အခန်,"[อะคอน]น.กัณฑ์  ตอน,ภาค.",
အခန်ဇၞော်,"[อะคอนแจฺ.โนฺก]น.บรรพ์,ตอนใหญ่,เรื่องยาว.",
အခန်ဍောတ်,"[อะคอนโดด]น.บทกลอน,โคลง.",
အခဝ်,"[อะคอ]น.อักขระ,อักษร.",
အခါ,"[อะคา]น.ขวบ,ปี.",
အခါန်,[อะคาน]น.อาคาร.,
အခိၚ်,[อะเคิญ]น.เวลา.,
အခိၚ်တ္ၚဲ,[อะเคิญตะงัว]น.เวลากลางวัน.,
အခိၚ်ဗ္တမ်,[อะเคิญแปฺ.ตอม]น.เวลากลางคืน.,
အခေၚ်ပၞာန်,"[อะเคียงปะนาน]น.จตุรงคเสนา,กระบวนทัพ.",
အခေါဗနဳ,"[อะเคาแปฺ.นีฺ]ว.มากจนนับไม่ถ้วน,มากเหลือนับ,อักโข.",
အခေါၚ်,"[อะโคง]น.การให้โอกาส,การอนุญาต.",
အခေါန်,"[อะโคน]น.ภาษี,ส่วย,อากร.",
အခေါန်ဖလာ,[อะโคนพะลา]น.ภาษีอากร.,
အခေါန်အဒါန်,[อะโคนอะตฺาน]น.ภาษีอากร.,
အချဴ,[อะคฺยาว]น.มดแดง.,
အခိုက်,"[อะคิาก]น.ท่าทาง,แบบอย่าง,จารีต.",
အခိုက်ကနာ,"[อะคิางกะนา]น.ท่าทาง,แบบอย่าง,จารีต.",
အခိုၚ်,"[อะคิาง]น.ความมั่นคง,ความแข็งแรง,ความสำคัญ.",
အခိုၚ်အနိၚ်,"[อะคิางอะเนิฺญ]ว.โดยพลการ,โดยใช้อำนาจ,โดยเผด็จการ.",
အဂတိ,"[อะแกฺ.ตอย.]น.อคติ,ความลำเอียง.",
အဂၞု,[อะแกฺ.นฺุ]น.บุนนาค.,
အဂၞဲ,"[อะแกฺ.นัฺว]น.ทิศอาคเนย์,ทิศตะวันออกเฉียงใต้.",
အဂြၚ်,[อะแกฺฺรง]น.ตั๊กแตนปาทังก้า.,
အဂၠဴ,"[อะแกฺฺล-า]น.กฤษณา,จันทนา.",
အဂန္တုက,"[อะกฺอนเตา.กะ]น.อาคันตุกะ,ผู้มาเยือน,แขก.",
အဂှ်,"[อะกฺอ.ฮ]น.สถานที่นั้น,ที่นั้น.",
အဂီု,"[อะเกิฺม]น.นิยาย,เรื่องเล่า,นิทาน.",
အဃော,"[อะโคฺว] 1.ว.ขณะ,กำลัง(กระทำอยู่). 2.น.เวลา,ขณะ.",
အၚပ်,"[อะงฺอบ]น.ความอยาก,ความปราถนา.",
အၚဝ်,[อะงฺอ] 1.น.ท่าทาง.  2.น.คู่.,
အၚာ,[อะแงฺ-า] 1.น.ชื่อดาวนพเคราะห์.  2.น.วันอังคาร.,
အၚာပ်,[อะงฺาบ]น.กราม.,
အေၚာဝ်,"[อะโงฺ] 1.น.คู่.  2.ว.คล้าย,เหมือน.",
အစၚ်ခြၚ်,"[อะจังคฺรัง]น.ความคิด,ความรำพึง,ความใคร่ครวญ.",
အစပ်,"[อะจอบ] 1.ก.ติดกัน,ต่อกัน.  2.ว.ต่อเนื่อง,ต่อกัน,พอเหมาะ,พอดี,ถัด,ต่อจาก.",
အစပ်သဟာဲ,[อะจอบซะหาย]น.เพื่อนสนิท.,
အစါ,"[อะจา]น.อาจารย์,ผู้ชำนาญเฉพาะทาง.",
အစါကၞေဟ်,"[อะจากะเน.ฮ]น.ช่างจานหนังสือ,นักเขียน.",
အစာကမာန်,"[อะจากะมาน]น.ช่างจักสาน,ช่างจักตอก.",
အစါကဝတ်,[อะจากะวอด]น.หมอนวด.,
အစါကဝိ,"[อะจากะวอย.]น.นักประพันธ์,กวี.",
အစါကသူ,[อะจากะเซา]น.ช่างวาด  ช่างเขียน.,
အစါဂိုန်,[อะจาเกิฺน]น.หัวหน้าคณะ.,
အစါတ်,"[อะจาด] 1.น.เครื่องเคียง,ผักชุบแป้งทอด.  2.น.ทอดมัน.",
အစါတွံဓဝ်,"[อะจาตฺวอ.ฮทฺอ]น.พระธรรมกถึก,พระนักเทศน์.",
အစါဒမၠုမတ်,"[อะจาตฺอมลฺุมฺอด]น.นักเล่นกล,นักมายากล.",
အစါနိသ္သယ,[อะจานิฺดสะยะ]น.พระอาจารย์ผู้ให้นิสัย.,
အစါပရန်,[อะจาปะรอน]น.ช่างปูน.,
အစါပန်,[อะจาปอน]น.อาจารย์ทั้งสี่มีในเรื่องมโหสถ.,
အစါဗ္တောန်လိက်,[อะจาแปฺ.โตนเลิฺจ]น.ครูสอนหนังสือ.,
အစါရ,"[อะจาระ]น.การชักนำ,ความประพฤติ.",
အစါလမာန်,[อะจาแลฺ.มฺาน]น.ช่างปั้น.,
အစါလမာဲ,[อะจาแลฺ.มฺาย]น.หมองู.,
အစါလၚ်ကာ,"[อะจาแลฺงกา]น.ผู้แต่งกาพย์กลอน,ผู้ประพันธ์บทกลอน.",
အစါသဝ်,"[อะจาซอ]น.หมอยา,แพทย์.",
အစါအသံက်,[อะจาอะซอก]น.เสนาบดี.,
အစါအတ္ထကထာ,[อะจาออดทะกะทา]น.พระอรรถกถาจารย์.,
အစါဥပဇ္ၛာဲ,[อะจาอุปอดชฺาย]น.พระอุปัชฌาอาจารย์.,
အစိတ်,"[อะจิด]น.ยี่สิบห้า,หนึ่งส่วนสี่ของร้อย.",
အစိန္တိယ,"[อะจินตอย.ยะ]ว.ไม่ควรคิด,ยากแก่การคิดคำนึง.",
အစဳရေၚ်,"[อะจีเรียง]น.การจัด,การวางแผน,การเรียบเรียง.",
အစုတ်,ดู  လစုတ်,
အစေန်အဆက်,"[อะเจนอะชัก]น.การสืบต่อกันมา,ความต่อเนื่องกัน.",
အစေါန်စိုတ်,"[อะโจนจอด]น.ความอิจฉา,ความริษยา.",
အစေါန်အပြံက်,"[อะโจนอะปฺรอก]น.จุด,ด่าง,รอย,ด่างพร้อย.",
အစောံဒြဟတ်,"[อะโจมแตฺฺร.ฮอด]น.กำลังวังชา,พละกำลัง.",
အစံၚ်အတူ,"[อะจองอะเตา]น.ความลำบากใจ,ความกระวนกระวาย,ความเดือดร้อน.",
အစိုၚ်,"[อะจิาง]น.ความเฉื่อยชา,ความเชื่องช้า.",
အဆက်အဆက်,"[อะชักอะชัก]ว.ต่อเนื่องกัน,สืบเนื่องกัน.",
အဆတ်,"[อะชอด]ว.จริง,แท้,แน่นอน.",
အဆေဝ်သွဝ်,"[อะเชฟอ]น.นางอัปสร,นางฟ้า.",
အဆေဝ်သွဝ်ဗြဴ,"[อะเชฟอแปฺฺร-า]น.นางฟ้า,เทพธิดา.",
အဆံၚ်,"[อะชอง]น.ชั้น,ขั้นตอน,ลำดับขั้น.เช่น အဆံၚ်သၟဝ် ชั้นล่าง.",
အဆံၚ်အလံၚ်,[อะชองอะลฺอง] 1.น.ธงสัญญาณ.  2.ก.เลื่อนตำแหน่ง.,
အဇ,"[อะแจฺ.]น.ท่าทาง,กริยา,มารยาท,อัธยาศัย.",
အဇုမ,[อะจฺุแมฺ.]น.เชื้อหมัก.,
အဍာၚ်,[อะดาญ]น.ลูกกระดอม.,
အဏု,"[อะเนา.]น.อณู,ส่วนที่เล็กที่สุด.",
အဏံ,[อะนอ.]น.ที่นี่.,
အတှ်,"[อะตอ.ฮ]น.เสา,หลัก,ลูกสลัก.",
အတှ်ဆုဣနတက္ခိ,[อะตอ.ฮชุอินตักขี]น.เสาหลักเมือง.,
အတှ်တၟံ,[อะตอ.ฮตะมอ.]น.เสาหลักหิน.,
အတၚ်,"[อะตัง]น.ชาย,ริม,ขอบ.เช่น အတၚ်ဂၞိန် ชายผ้านุ่ง.",
အတာ,[อะตา] 1.น.ดินที่งอกออกไปจากฝั่ง.  2.น.มาตราวัดระยะ1อะตา เท่ากับ7ศอก.,
အတိက်,[อะเติจ]น.อดีด.,
အတုန်အခၠေဝ်,"[อะตุนอะเคฺล]น.การเอื้อเฟื้อ,การสนองบุญคุณ.",
အတူ,ดู လတူ,
အတူလ,[อะเตาละ]ว.ไม่มีอะไรเปรียบ.,
အတူလံၚ်,[อะเตาลฺอง]ว.ไม่มีอะไรเปรียบ.,
အတး,[อะตะฮ]น.สงกรานต์.,
အတိုၚ်,"[อะติาง]ว.ตามที่,อย่างที่,แบบที่,แล้วแต่.",
အထက်,"[อะทัก]น.คราว,สมัย,ครั้งเมื่อ.",
အထောတ်,"[อะโทด]น.ยอดสุด,ส่วนสูงสุด.",
အထံၚ်,"[อะทอง]น.ส่วนโค้ง,ส่วนเว้า,คุ้ง(น้ำ).",
အထိုက်,"[อะทิาก]น.ขนบ,ประเพณี.",
အထိုက်အထိုက်,[อะทิากอะทิาก]ว.ตามประเพณี.,
အထိုၚ်သး,"[อะทิางซะฮ]น.การสรรเสริญ,การยกย่อง.",
အဒါ,[อะแตฺ-า]น.เป็ด.,
အဒိ,"[อะทิฺ]ว.อาทิ,ตั้งแต่ต้น,แต่เดิม.",
အဒိန်အဝ,[อะทิฺนอะแวฺ.]น.ผลความชั่วที่ได้รับ.,
အဒေါဝ်,[อะโตฺ]ว.กลาง.,
